
TIME STEP:
125 = 10ms

VOLTAGE STEP:
CH1:  32 = 0.5V
CH2:  32 = 1V
GND	62	128
N	CH1	CH2

0	74	124
1	74	123
2	74	124
3	74	123
4	74	123
5	74	124
6	74	123
7	74	123
8	74	123
9	74	123
10	75	123
11	74	123
12	73	124
13	73	123
14	74	123
15	74	123
16	74	124
17	74	124
18	75	124
19	75	124
20	74	123
21	74	124
22	75	124
23	75	123
24	75	124
25	75	123
26	75	123
27	74	123
28	74	123
29	75	123
30	73	122
31	75	124
32	74	124
33	74	123
34	74	123
35	74	124
36	74	123
37	74	123
38	74	123
39	75	124
40	75	124
41	74	123
42	75	124
43	74	123
44	74	123
45	74	123
46	74	123
47	75	124
48	75	124
49	74	123
50	75	123
51	74	123
52	74	123
53	74	124
54	74	124
55	74	123
56	74	123
57	74	124
58	75	124
59	74	124
60	75	123
61	74	123
62	75	124
63	76	123
64	74	124
65	74	124
66	75	124
67	74	123
68	75	123
69	74	123
70	74	123
71	74	123
72	74	123
73	75	124
74	74	123
75	75	124
76	75	123
77	74	123
78	74	123
79	74	124
80	73	123
81	75	124
82	73	123
83	74	124
84	75	124
85	73	123
86	74	123
87	75	124
88	75	124
89	75	123
90	75	123
91	74	123
92	74	124
93	74	123
94	75	124
95	75	123
96	75	124
97	74	123
98	74	123
99	74	123
100	75	122
101	75	124
102	74	124
103	74	123
104	74	123
105	74	124
106	74	123
107	74	123
108	74	123
109	74	123
110	74	123
111	75	123
112	75	123
113	74	124
114	75	123
115	73	123
116	74	123
117	74	124
118	74	123
119	74	123
120	75	123
121	75	123
122	74	123
123	75	123
124	75	123
125	75	123
126	75	123
127	75	123
128	74	124
129	75	124
130	73	123
131	74	124
132	74	123
133	75	124
134	74	123
135	74	124
136	75	124
137	75	123
138	74	123
139	75	124
140	74	124
141	74	124
142	74	124
143	74	124
144	74	123
145	74	124
146	75	123
147	75	123
148	74	123
149	75	123
150	74	124
151	74	123
152	74	124
153	75	124
154	74	124
155	74	123
156	74	123
157	74	123
158	74	123
159	74	123
160	74	123
161	75	123
162	73	123
163	74	123
164	74	123
165	74	123
166	74	123
167	75	124
168	75	124
169	74	123
170	75	124
171	75	124
172	75	124
173	75	124
174	74	123
175	73	124
176	74	124
177	75	123
178	75	123
179	74	124
180	75	124
181	74	124
182	74	123
183	73	124
184	75	123
185	75	124
186	74	124
187	75	124
188	74	124
189	75	123
190	73	124
191	75	124
192	75	124
193	75	123
194	74	123
195	74	124
196	74	123
197	75	123
198	75	123
199	75	123
200	74	123
201	75	123
202	75	124
