Freq.	V(n002)
1.00000000000000e-003,-3.83097158429855e-008,-5.40000547164590e-003
1.00695555005672e-003,-3.98348180604218e-008,-5.43756394059734e-003
1.01395947979003e-003,-3.93925283015425e-008,-5.47538703318916e-003
1.02101212570719e-003,-4.09327444236235e-008,-5.51346986160793e-003
1.02811382665607e-003,-4.14932375866853e-008,-5.55181975572444e-003
1.03526492384138e-003,-4.20615350520079e-008,-5.59043508646970e-003
1.04246576084112e-003,-4.06628590586191e-008,-5.62932155468302e-003
1.04971668362307e-003,-4.12471441090312e-008,-5.66847671514650e-003
1.05701804056138e-003,-4.18395690476670e-008,-5.70790301179945e-003
1.06437018245336e-003,-4.34277508186080e-008,-5.74760451509984e-003
1.07177346253629e-003,-4.40368538010111e-008,-5.78758285479858e-003
1.07922823650443e-003,-4.46544447938612e-008,-5.82783803024501e-003
1.08673486252606e-003,-4.42932086873682e-008,-5.86837492744204e-003
1.09429370126074e-003,-4.59156182980365e-008,-5.90919110172287e-003
1.10190511587661e-003,-4.45845397311242e-008,-5.95029551288681e-003
1.10956947206785e-003,-4.81997224190343e-008,-5.99168001330585e-003
1.11728713807222e-003,-4.78741876440573e-008,-6.03335600819558e-003
1.12505848468881e-003,-4.85453470282465e-008,-6.07532105149338e-003
1.13288388529580e-003,-4.82384392027039e-008,-6.11758002991167e-003
1.14076371586843e-003,-4.99159340922974e-008,-6.16013049869621e-003
1.14869835499704e-003,-5.16030568276981e-008,-6.20297653034283e-003
1.15668818390529e-003,-5.23124874765710e-008,-6.24612138245087e-003
1.16473358646846e-003,-5.30318410551932e-008,-6.28956749698895e-003
1.17283494923188e-003,-5.47486785779408e-008,-6.33331405901408e-003
1.18099266142953e-003,-5.35133133686293e-008,-6.37736677096900e-003
1.18920711500272e-003,-5.52506688871084e-008,-6.42172481429882e-003
1.19747870461893e-003,-5.50235360158319e-008,-6.46639063529949e-003
1.20580782769076e-003,-5.48070647490989e-008,-6.51136993208114e-003
1.21419488439505e-003,-5.75636989774394e-008,-6.55665781707234e-003
1.22264027769207e-003,-5.93438185628525e-008,-6.60226324967767e-003
1.23114441334492e-003,-5.71851184764819e-008,-6.64818623217821e-003
1.23970769993899e-003,-6.09624528342740e-008,-6.69442757125356e-003
1.24833054890162e-003,-6.08012905696241e-008,-6.74099134558128e-003
1.25701337452183e-003,-5.96642067225350e-008,-6.78787999557883e-003
1.26575659397028e-003,-6.24886563176625e-008,-6.83509188893609e-003
1.27456062731927e-003,-6.23625724291594e-008,-6.88263354484209e-003
1.28342589756291e-003,-6.32360149312875e-008,-6.93050740286364e-003
1.29235283063750e-003,-6.31341173401380e-008,-6.97871102190417e-003
1.30134185544194e-003,-6.50196022394588e-008,-7.02725417025504e-003
1.31039340385837e-003,-6.69175713226671e-008,-7.07613196415735e-003
1.31950791077290e-003,-6.78407528720389e-008,-7.12534847553309e-003
1.32868581409652e-003,-6.87768602669728e-008,-7.17490940314093e-003
1.33792755478612e-003,-6.87385755019201e-008,-7.22481556202631e-003
1.34723357686570e-003,-7.06884630128352e-008,-7.27506776395001e-003
1.35660432744768e-003,-7.06768650463006e-008,-7.32567089754054e-003
1.36604025675440e-003,-7.36412752060352e-008,-7.37662414442111e-003
1.37554181813975e-003,-7.16821610091812e-008,-7.42793321085015e-003
1.38510946811093e-003,-7.36869370762913e-008,-7.47959890348819e-003
1.39474366635041e-003,-7.47184357456668e-008,-7.53162366921225e-003
1.40444487573800e-003,-7.57642961442494e-008,-7.58400832140190e-003
1.41421356237310e-003,-7.58373719159751e-008,-7.63676181737318e-003
1.42405019559708e-003,-7.98750476990693e-008,-7.68987763899441e-003
1.43395524801583e-003,-7.89904623912906e-008,-7.74336719322857e-003
1.44392919552250e-003,-8.00959587301240e-008,-7.79722477440700e-003
1.45397251732032e-003,-8.12169527759579e-008,-7.85146015494874e-003
1.46408569594563e-003,-8.33410277259548e-008,-7.90607089128864e-003
1.47426921729111e-003,-8.54809427195926e-008,-7.96106024120214e-003
1.48452357062906e-003,-8.46746203005362e-008,-8.01643634964818e-003
1.49484924863495e-003,-8.38845776580022e-008,-8.07219595704224e-003
1.50524674741107e-003,-8.60734313068588e-008,-8.12834068905905e-003
1.51571656651041e-003,-9.02540233197207e-008,-8.18487706035173e-003
1.52625920896057e-003,-9.05017513338362e-008,-8.24180751916953e-003
1.53687518128802e-003,-8.97792820100341e-008,-8.29913531965040e-003
1.54756499354240e-003,-9.10492241505067e-008,-8.35686127318867e-003
1.55832915932101e-003,-9.33242934992420e-008,-8.41498538070197e-003
1.56916819579351e-003,-9.36424367058116e-008,-8.47351578728442e-003
1.58008262372676e-003,-9.49663165756253e-008,-8.53245493273543e-003
1.59107296750985e-003,-9.82836108120911e-008,-8.59180363028120e-003
1.60213975517925e-003,-9.86572269569857e-008,-8.65156514168780e-003
1.61328351844426e-003,-1.00037249008985e-007,-8.71173946305595e-003
1.62450479271248e-003,-1.00449176920317e-007,-8.77233718125369e-003
1.63580411711557e-003,-1.01867985188089e-007,-8.83335096629022e-003
1.64718203453516e-003,-1.06269049471270e-007,-8.89479058679503e-003
1.65863909162889e-003,-1.05752876794931e-007,-8.95665930773820e-003
1.67017583885675e-003,-1.07232041356118e-007,-9.01895956471830e-003
1.68179283050744e-003,-1.09719242503534e-007,-9.08168973027918e-003
1.69349062472506e-003,-1.10252499205723e-007,-9.14485876396813e-003
1.70526978353592e-003,-1.09819499774188e-007,-9.20846666477931e-003
1.71713087287552e-003,-1.14345335500956e-007,-9.27251505485944e-003
