Freq.	V(out5)
1.43395524801583e+003	-1.88992419731983e+001,1.17714900004794e-001
1.44392919552250e+003	-1.88992317078148e+001,1.18533590398883e-001
1.45397251732032e+003	-1.88992212991518e+001,1.19357973522978e-001
1.46408569594563e+003	-1.88992107452098e+001,1.20188088937199e-001
1.47426921729111e+003	-1.88992000439615e+001,1.21023976476042e-001
1.48452357062906e+003	-1.88991891933509e+001,1.21865676250339e-001
1.49484924863495e+003	-1.88991781912938e+001,1.22713228649038e-001
1.50524674741107e+003	-1.88991670356766e+001,1.23566674341359e-001
1.51571656651041e+003	-1.88991557243565e+001,1.24426054278403e-001
1.52625920896057e+003	-1.88991442551604e+001,1.25291409695474e-001
1.53687518128802e+003	-1.88991326258852e+001,1.26162782113629e-001
1.54756499354240e+003	-1.88991208342971e+001,1.27040213341973e-001
1.55832915932101e+003	-1.88991088781308e+001,1.27923745479537e-001
1.56916819579351e+003	-1.88990967550898e+001,1.28813420917156e-001
1.58008262372676e+003	-1.88990844628453e+001,1.29709282339720e-001
1.59107296750985e+003	-1.88990719990361e+001,1.30611372727942e-001
1.60213975517925e+003	-1.88990593612681e+001,1.31519735360635e-001
1.61328351844426e+003	-1.88990465471137e+001,1.32434413816522e-001
1.62450479271248e+003	-1.88990335541114e+001,1.33355451976553e-001
1.63580411711557e+003	-1.88990203797656e+001,1.34282894025828e-001
1.64718203453516e+003	-1.88990070215457e+001,1.35216784455642e-001
1.65863909162889e+003	-1.88989934768858e+001,1.36157168065769e-001
1.67017583885675e+003	-1.88989797431843e+001,1.37104089966492e-001
1.68179283050744e+003	-1.88989658178032e+001,1.38057595580706e-001
1.69349062472506e+003	-1.88989516980677e+001,1.39017730646029e-001
1.70526978353592e+003	-1.88989373812659e+001,1.39984541217245e-001
1.71713087287552e+003	-1.88989228646479e+001,1.40958073668051e-001
1.72907446261574e+003	-1.88989081454253e+001,1.41938374693617e-001
1.74110112659226e+003	-1.88988932207711e+001,1.42925491312621e-001
1.75321144263208e+003	-1.88988780878187e+001,1.43919470869549e-001
1.76540599258132e+003	-1.88988627436616e+001,1.44920361036825e-001
1.77768536233315e+003	-1.88988471853527e+001,1.45928209817153e-001
1.79005014185596e+003	-1.88988314099038e+001,1.46943065545909e-001
1.80250092522167e+003	-1.88988154142849e+001,1.47964976893098e-001
1.81503831063433e+003	-1.88987991954241e+001,1.48993992865858e-001
1.82766290045881e+003	-1.88987827502062e+001,1.50030162810924e-001
1.84037530124976e+003	-1.88987660754729e+001,1.51073536416605e-001
1.85317612378075e+003	-1.88987491680217e+001,1.52124163715442e-001
1.86606598307363e+003	-1.88987320246055e+001,1.53182095086406e-001
1.87904549842804e+003	-1.88987146419318e+001,1.54247381257352e-001
1.89211529345121e+003	-1.88986970166623e+001,1.55320073307283e-001
1.90527599608789e+003	-1.88986791454120e+001,1.56400222668975e-001
1.91852823865054e+003	-1.88986610247490e+001,1.57487881131203e-001
1.93187265784971e+003	-1.88986426511932e+001,1.58583100841348e-001
1.94530989482459e+003	-1.88986240212160e+001,1.59685934307627e-001
1.95884059517387e+003	-1.88986051312399e+001,1.60796434401848e-001
1.97246540898673e+003	-1.88985859776372e+001,1.61914654361646e-001
1.98618499087409e+003	-1.88985665567296e+001,1.63040647793238e-001
2.00000000000002e+003	-1.88985468647878e+001,1.64174468673697e-001
2.01391110011345e+003	-1.88985268980303e+001,1.65316171353707e-001
2.02791895958007e+003	-1.88985066526227e+001,1.66465810559952e-001
2.04202425141440e+003	-1.88984861246775e+001,1.67623441397821e-001
2.05622765331215e+003	-1.88984653102527e+001,1.68789119353850e-001
2.07052984768277e+003	-1.88984442053515e+001,1.69962900298540e-001
2.08493152168226e+003	-1.88984228059212e+001,1.71144840488784e-001
2.09943336724615e+003	-1.88984011078529e+001,1.72334996570668e-001
2.11403608112278e+003	-1.88983791069801e+001,1.73533425581973e-001
2.12874036490674e+003	-1.88983567990782e+001,1.74740184954950e-001
2.14354692507261e+003	-1.88983341798640e+001,1.75955332519114e-001
2.15845647300887e+003	-1.88983112449943e+001,1.77178926503647e-001
2.17346972505214e+003	-1.88982879900654e+001,1.78411025540562e-001
2.18858740252150e+003	-1.88982644106124e+001,1.79651688666978e-001
2.20381023175324e+003	-1.88982405021078e+001,1.80900975328308e-001
2.21913894413571e+003	-1.88982162599613e+001,1.82158945380808e-001
2.23457427614446e+003	-1.88981916795184e+001,1.83425659094449e-001
2.25011696937764e+003	-1.88981667560599e+001,1.84701177155731e-001
2.26576777059162e+003	-1.88981414848006e+001,1.85985560670462e-001
2.28152743173687e+003	-1.88981158608887e+001,1.87278871166762e-001
2.29739670999409e+003	-1.88980898794048e+001,1.88581170597785e-001
2.31337636781060e+003	-1.88980635353608e+001,1.89892521344723e-001
2.32946717293693e+003	-1.88980368236992e+001,1.91212986219751e-001
2.34566989846378e+003	-1.88980097392920e+001,1.92542628468753e-001
2.36198532285908e+003	-1.88979822769396e+001,1.93881511774491e-001
2.37841423000547e+003	-1.88979544313700e+001,1.95229700259601e-001
2.39495740923788e+003	-1.88979261972377e+001,1.96587258489337e-001
2.41161565538155e+003	-1.88978975691227e+001,1.97954251474789e-001
2.42838976879012e+003	-1.88978685415294e+001,1.99330744675979e-001
2.44528055538416e+003	-1.88978391088858e+001,2.00716804004588e-001
2.46228882668986e+003	-1.88978092655420e+001,2.02112495827384e-001
2.47941539987800e+003	-1.88977790057695e+001,2.03517886969100e-001
2.49666109780325e+003	-1.88977483237598e+001,2.04933044715638e-001
2.51402674904368e+003	-1.88977172136237e+001,2.06358036817207e-001
2.53151318794059e+003	-1.88976856693897e+001,2.07792931491351e-001
2.54912125463855e+003	-1.88976536850032e+001,2.09237797426204e-001
2.56685179512584e+003	-1.88976212543253e+001,2.10692703783747e-001
2.58470566127501e+003	-1.88975883711313e+001,2.12157720202961e-001
2.60268371088390e+003	-1.88975550291100e+001,2.13632916802955e-001
2.62078680771676e+003	-1.88975212218622e+001,2.15118364186453e-001
2.63901582154582e+003	-1.88974869428994e+001,2.16614133442827e-001
2.65737162819305e+003	-1.88974521856429e+001,2.18120296151548e-001
2.67585510957225e+003	-1.88974169434221e+001,2.19636924385386e-001
2.69446715373141e+003	-1.88973812094737e+001,2.21164090713902e-001
2.71320865489537e+003	-1.88973449769400e+001,2.22701868206692e-001
2.73208051350882e+003	-1.88973082388679e+001,2.24250330436786e-001
2.75108363627952e+003	-1.88972709882072e+001,2.25809551484043e-001
2.77021893622188e+003	-1.88972332178097e+001,2.27379605938563e-001
2.78948733270084e+003	-1.88971949204275e+001,2.28960568904112e-001
2.80888975147603e+003	-1.88971560887118e+001,2.30552516001781e-001
2.82842712474622e+003	-1.88971167152114e+001,2.32155523373229e-001
2.84810039119418e+003	-1.88970767923713e+001,2.33769667684312e-001
2.86791049603169e+003	-1.88970363125313e+001,2.35395026128467e-001
2.88785839104503e+003	-1.88969952679243e+001,2.37031676430597e-001
2.90794503464066e+003	-1.88969536506754e+001,2.38679696850242e-001
2.92817139189129e+003	-1.88969114527996e+001,2.40339166185527e-001
2.94853843458224e+003	-1.88968686662009e+001,2.42010163776529e-001
2.96904714125813e+003	-1.88968252826707e+001,2.43692769509125e-001
2.98969849726991e+003	-1.88967812938857e+001,2.45387063818389e-001
3.01049349482217e+003	-1.88967366914069e+001,2.47093127692632e-001
3.03143313302083e+003	-1.88966914666779e+001,2.48811042676671e-001
3.05251841792116e+003	-1.88966456110229e+001,2.50540890876221e-001
3.07375036257606e+003	-1.88965991156454e+001,2.52282754960911e-001
3.09512998708482e+003	-1.88965519716264e+001,2.54036718168526e-001
3.11665831864204e+003	-1.88965041699228e+001,2.55802864308754e-001
3.13833639158704e+003	-1.88964557013654e+001,2.57581277766785e-001
3.16016524745355e+003	-1.88964065566575e+001,2.59372043507582e-001
3.18214593501972e+003	-1.88963567263729e+001,2.61175247079213e-001
3.20427951035853e+003	-1.88963062009541e+001,2.62990974617289e-001
3.22656703688855e+003	-1.88962549707107e+001,2.64819312848650e-001
3.24900958542499e+003	-1.88962030258173e+001,2.66660349095043e-001
3.27160823423117e+003	-1.88961503563118e+001,2.68514171277551e-001
3.29436406907034e+003	-1.88960969520932e+001,2.70380867920439e-001
3.31727818325781e+003	-1.88960428029201e+001,2.72260528155030e-001
3.34035167771352e+003	-1.88959878984087e+001,2.74153241723853e-001
3.36358566101490e+003	-1.88959322280302e+001,2.76059098984598e-001
3.38698124945015e+003	-1.88958757811098e+001,2.77978190914626e-001
3.41053956707187e+003	-1.88958185468238e+001,2.79910609114301e-001
3.43426174575106e+003	-1.88957605141979e+001,2.81856445812094e-001
3.45814892523151e+003	-1.88957016721052e+001,2.83815793867892e-001
3.48220225318455e+003	-1.88956420092638e+001,2.85788746777679e-001
3.50642288526419e+003	-1.88955815142351e+001,2.87775398677779e-001
3.53081198516267e+003	-1.88955201754210e+001,2.89775844348605e-001
3.55537072466633e+003	-1.88954579810623e+001,2.91790179219434e-001
