Freq.,V(n001)
1.52625920896057e-003,9.99999979218135e-001,-1.43846531681338e-004
1.53687518128802e-003,9.99999979156654e-001,-1.44847089543272e-004
1.54756499354240e-003,9.99999978863770e-001,-1.45854596446435e-004
1.55832915932101e-003,9.99999978453128e-001,-1.46869052422825e-004
1.56916819579351e-003,9.99999978265704e-001,-1.47890599681135e-004
1.58008262372676e-003,9.99999977960381e-001,-1.48919280753719e-004
1.59107296750985e-003,9.99999977423424e-001,-1.49955109816608e-004
1.60213975517925e-003,9.99999977223207e-001,-1.50998143883432e-004
1.61328351844426e-003,9.99999976904936e-001,-1.52048382818015e-004
1.62450479271248e-003,9.99999976695882e-001,-1.53106011430337e-004
1.63580411711557e-003,9.99999976368666e-001,-1.54170901753304e-004
1.64718203453516e-003,9.99999975695814e-001,-1.55243224245807e-004
1.65863909162889e-003,9.99999975586755e-001,-1.56323036033373e-004
1.67017583885675e-003,9.99999975245619e-001,-1.57410379501688e-004
1.68179283050744e-003,9.99999974786053e-001,-1.58505226263572e-004
1.69349062472506e-003,9.99999974549018e-001,-1.59607732746502e-004
1.70526978353592e-003,9.99999974420777e-001,-1.60717898915412e-004
1.71713087287552e-003,9.99999973719149e-001,-1.61835752971961e-004
1.72907446261574e-003,9.99999973353548e-001,-1.62961380473835e-004
1.74110112659226e-003,9.99999972982815e-001,-1.64094923419906e-004
1.75321144263208e-003,9.99999972834295e-001,-1.65236310831011e-004
1.76540599258132e-003,9.99999972453165e-001,-1.66385599400770e-004
1.77768536233315e-003,9.99999972180386e-001,-1.67542931350399e-004
1.79005014185596e-003,9.99999971333799e-001,-1.68708249607083e-004
1.80250092522167e-003,9.99999971277523e-001,-1.69881753582256e-004
1.81503831063433e-003,9.99999970760983e-001,-1.71063329166822e-004
1.82766290045881e-003,9.99999970238813e-001,-1.72253147044418e-004
1.84037530124976e-003,9.99999969938285e-001,-1.73451320980701e-004
1.85317612378075e-003,9.99999969518331e-001,-1.74657708749598e-004
1.86606598307363e-003,9.99999969206163e-001,-1.75872594647290e-004
1.87904549842804e-003,9.99999968547024e-001,-1.77095836404967e-004
1.89211529345121e-003,9.99999968450254e-001,-1.78327690139807e-004
1.90527599608789e-003,9.99999967665288e-001,-1.79568013298331e-004
1.91852823865054e-003,9.99999967442523e-001,-1.80817062123002e-004
1.93187265784971e-003,9.99999966986138e-001,-1.82074694219719e-004
1.94530989482459e-003,9.99999966409673e-001,-1.83341137002059e-004
1.95884059517387e-003,9.99999965826758e-001,-1.84616362089373e-004
1.97246540898673e-003,9.99999965464656e-001,-1.85900483252970e-004
1.98618499087409e-003,9.99999964982228e-001,-1.87193528788573e-004
2.00000000000002e-003,9.99999964606747e-001,-1.88495584046088e-004
2.01391110011345e-003,9.99999964110769e-001,-1.89806648940040e-004
2.02791895958007e-003,9.99999963380491e-001,-1.91126837112850e-004
2.04202425141440e-003,9.99999963097941e-001,-1.92456205668619e-004
2.05622765331215e-003,9.99999962353508e-001,-1.93794867945244e-004
2.07052984768277e-003,9.99999962056610e-001,-1.95142824293966e-004
2.08493152168226e-003,9.99999961297657e-001,-1.96500131204396e-004
2.09943336724615e-003,9.99999960985999e-001,-1.97866959562914e-004
2.11403608112278e-003,9.99999960439470e-001,-1.99243223836266e-004
2.12874036490674e-003,9.99999959657948e-001,-2.00629037709336e-004
2.14354692507261e-003,9.99999959096042e-001,-2.02024543472427e-004
2.15845647300887e-003,9.99999958526299e-001,-2.03429741034868e-004
2.17346972505214e-003,9.99999958175986e-001,-2.04844687333157e-004
2.18858740252150e-003,9.99999957476540e-001,-2.06269495821493e-004
2.20381023175324e-003,9.99999956882600e-001,-2.07704223529200e-004
2.21913894413571e-003,9.99999956394058e-001,-2.09148927300599e-004
2.23457427614446e-003,9.99999955669742e-001,-2.10603663836363e-004
2.25011696937764e-003,9.99999955164263e-001,-2.12068547014124e-004
2.26576777059162e-003,9.99999954536472e-001,-2.13543576690151e-004
2.28152743173687e-003,9.99999953899906e-001,-2.15028895020780e-004
2.29739670999409e-003,9.99999953140785e-001,-2.16524501956700e-004
2.31337636781060e-003,9.99999952372617e-001,-2.18030596498317e-004
2.32946717293693e-003,9.99999951709032e-001,-2.19547093430343e-004
2.34566989846378e-003,9.99999951036172e-001,-2.21074163233696e-004
2.36198532285908e-003,9.99999950581277e-001,-2.22611891274638e-004
2.37841423000546e-003,9.99999949775840e-001,-2.24160220456944e-004
2.39495740923788e-003,9.99999949074381e-001,-2.25719435199689e-004
2.41161565538154e-003,9.99999948476824e-001,-2.27289478660437e-004
2.42838976879012e-003,9.99999947642020e-001,-2.28870322262351e-004
2.44528055538416e-003,9.99999946797121e-001,-2.30462221903320e-004
2.46228882668986e-003,9.99999946055684e-001,-2.32065234479413e-004
2.47941539987800e-003,9.99999945303901e-001,-2.33679388360198e-004
2.49666109780325e-003,9.99999944768996e-001,-2.35304768917692e-004
2.51402674904368e-003,9.99999943768728e-001,-2.36941404252485e-004
2.53151318794059e-003,9.99999942985010e-001,-2.38589493637416e-004
2.54912125463855e-003,9.99999942190371e-001,-2.40249008543670e-004
2.56685179512583e-003,9.99999941498313e-001,-2.41920091134665e-004
2.58470566127501e-003,9.99999940908694e-001,-2.43602798254847e-004
2.60268371088389e-003,9.99999939852934e-001,-2.45297186469802e-004
2.62078680771675e-003,9.99999939240352e-001,-2.47003369910890e-004
2.63901582154582e-003,9.99999938275007e-001,-2.48721376608497e-004
2.65737162819305e-003,9.99999937297751e-001,-2.50451377260041e-004
2.67585510957225e-003,9.99999936308474e-001,-2.52193343443686e-004
2.69446715373141e-003,9.99999935420636e-001,-2.53947474168967e-004
2.71320865489537e-003,9.99999934747754e-001,-2.55713854760203e-004
2.73208051350882e-003,9.99999933607561e-001,-2.57492513290112e-004
2.75108363627952e-003,9.99999932682018e-001,-2.59283506950821e-004
2.77021893622188e-003,9.99999931970919e-001,-2.61086977853155e-004
2.78948733270084e-003,9.99999930905649e-001,-2.62903010965675e-004
2.80888975147603e-003,9.99999929940818e-001,-2.64731606525285e-004
2.82842712474622e-003,9.99999928962497e-001,-2.66572963424398e-004
2.84810039119418e-003,9.99999928084200e-001,-2.68427138567305e-004
2.86791049603169e-003,9.99999926851037e-001,-2.70294131709294e-004
2.88785839104503e-003,9.99999925944831e-001,-2.72174227434716e-004
2.90794503464065e-003,9.99999925024437e-001,-2.74067311873506e-004
2.92817139189128e-003,9.99999923975862e-001,-2.75973669179794e-004
2.94853843458224e-003,9.99999922799003e-001,-2.77893214087002e-004
2.96904714125813e-003,9.99999921721001e-001,-2.79826088829408e-004
2.98969849726991e-003,9.99999920627935e-001,-2.81772435452604e-004
3.01049349482217e-003,9.99999919633287e-001,-2.83732339286033e-004
3.03143313302083e-003,9.99999918282133e-001,-2.85705828492716e-004
3.05251841792116e-003,9.99999917256352e-001,-2.87693045569407e-004
3.07375036257606e-003,9.99999916214620e-001,-2.89694160852602e-004
3.09512998708482e-003,9.99999914815744e-001,-2.91709117299731e-004
3.11665831864204e-003,9.99999913741560e-001,-2.93738114259102e-004
3.13833639158704e-003,9.99999912650786e-001,-2.95781236798024e-004
3.16016524745355e-003,9.99999911202189e-001,-2.97838484713140e-004
3.18214593501972e-003,9.99999910077528e-001,-2.99910171047882e-004
3.20427951035853e-003,9.99999908821928e-001,-3.01996210266517e-004
3.22656703688855e-003,9.99999907548774e-001,-3.04096801388459e-004
3.24900958542498e-003,9.99999906257901e-001,-3.06211915991784e-004
3.27160823423117e-003,9.99999904948966e-001,-3.08341809871580e-004
3.29436406907034e-003,9.99999903508130e-001,-3.10486426113614e-004
3.31727818325781e-003,9.99999902276050e-001,-3.12646105989855e-004
3.34035167771352e-003,9.99999900911560e-001,-3.14820707179765e-004
3.36358566101490e-003,9.99999899641694e-001,-3.17010457199382e-004
3.38698124945015e-003,9.99999898125175e-001,-3.19215384253917e-004
3.41053956707187e-003,9.99999896475325e-001,-3.21435744208485e-004
3.43426174575106e-003,9.99999895146722e-001,-3.23671480512266e-004
3.45814892523151e-003,9.99999893684283e-001,-3.25922791825055e-004
3.48220225318454e-003,9.99999892315096e-001,-3.28189791981088e-004
3.50642288526419e-003,9.99999890697831e-001,-3.30472566021321e-004
3.53081198516267e-003,9.99999889287001e-001,-3.32771142666697e-004
3.55537072466633e-003,9.99999887627507e-001,-3.35085720567214e-004
3.58010028371194e-003,9.99999886060111e-001,-3.37416413636364e-004
3.60500185044337e-003,9.99999884470784e-001,-3.39763392328378e-004
3.63007662126869e-003,9.99999882859336e-001,-3.42126599799545e-004
3.65532580091765e-003,9.99999881339028e-001,-3.44506320344877e-004
3.68075060249955e-003,9.99999879795898e-001,-3.46902610730206e-004
3.70635224756154e-003,9.99999878002354e-001,-3.49315442374664e-004
3.73213196614728e-003,9.99999876299056e-001,-3.51745042888138e-004
3.75809099685610e-003,9.99999874685520e-001,-3.54191753332327e-004
3.78423058690244e-003,9.99999872706908e-001,-3.56655346010592e-004
3.81055199217581e-003,9.99999871044929e-001,-3.59136048781049e-004
3.83705647730111e-003,9.99999869244416e-001,-3.61634088693103e-004
3.86374531569944e-003,9.99999867418920e-001,-3.64149295297285e-004
3.89061978964920e-003,9.99999865795098e-001,-3.66682294037321e-004
3.91768119034777e-003,9.99999863918183e-001,-3.69232743520106e-004
3.94493081797350e-003,9.99999861901300e-001,-3.71801041730073e-004
3.97236998174820e-003,9.99999859858031e-001,-3.74386961376595e-004
4.00000000000006e-003,9.99999858015046e-001,-3.76991071064633e-004
4.02782220022694e-003,9.99999856031088e-001,-3.79613256851595e-004
4.05583791916018e-003,9.99999853905786e-001,-3.82253632422048e-004
4.08404850282884e-003,9.99999851866050e-001,-3.84912425322352e-004
4.11245530662433e-003,9.99999849797811e-001,-3.87589749152528e-004
4.14105969536558e-003,9.99999847700771e-001,-3.90285603912116e-004
4.16986304336455e-003,9.99999845460676e-001,-3.93000330571647e-004
4.19886673449234e-003,9.99999843418370e-001,-3.95733815711928e-004
4.22807216224559e-003,9.99999841345943e-001,-3.98486343371963e-004
4.25748072981351e-003,9.99999838902021e-001,-4.01257913277560e-004
4.28709385014524e-003,9.99999836654309e-001,-4.04049037472381e-004
4.31691294601778e-003,9.99999834489069e-001,-4.06859374806856e-004
4.34693945010430e-003,9.99999832291964e-001,-4.09689323092966e-004
4.37717480504303e-003,9.99999829721649e-001,-4.12538825205391e-004
4.40762046350651e-003,9.99999827459437e-001,-4.15408450138331e-004
4.43827788827145e-003,9.99999825164301e-001,-4.18297742864660e-004
4.46914855228895e-003,9.99999822835375e-001,-4.21207328661094e-004
4.50023393875531e-003,9.99999820131437e-001,-4.24136979864188e-004
4.53153554118327e-003,9.99999817733865e-001,-4.27087151797072e-004
4.56305486347377e-003,9.99999814960274e-001,-4.30057730191703e-004
4.59479341998822e-003,9.99999812378538e-001,-4.33048942907215e-004
4.62675273562123e-003,9.99999809874350e-001,-4.36061074064833e-004
4.65893434587390e-003,9.99999807333647e-001,-4.39094123566130e-004
