freq,mag,phase
1.48452357062906e-003,-3.77849538245393e-010,-5.34428485410961e-004
1.49484924863495e-003,-3.83123445160204e-010,-5.38145729492756e-004
1.50524674741107e-003,-3.88471605289946e-010,-5.41888829051830e-004
1.51571656651041e-003,-3.93895947289553e-010,-5.45657963927250e-004
1.52625920896057e-003,-3.99394542504091e-010,-5.49453315208961e-004
1.53687518128802e-003,-4.04969319588493e-010,-5.53275065246490e-004
1.54756499354240e-003,-4.10622207197694e-010,-5.57123397657705e-004
1.55832915932101e-003,-4.16354169659160e-010,-5.60998497337635e-004
1.56916819579351e-003,-4.22166171300357e-010,-5.64900550467359e-004
1.58008262372676e-003,-4.28058212121286e-010,-5.68829744522946e-004
1.59107296750985e-003,-4.34036078086747e-010,-5.72786268284463e-004
1.60213975517925e-003,-4.40093018904473e-010,-5.76770311845049e-004
1.61328351844426e-003,-4.46236749194197e-010,-5.80782066620042e-004
1.62450479271248e-003,-4.52466304628454e-010,-5.84821725356183e-004
1.63580411711557e-003,-4.58783613862175e-010,-5.88889482140869e-004
1.64718203453516e-003,-4.65185783912963e-010,-5.92985532411484e-004
1.65863909162889e-003,-4.71680529400550e-010,-5.97110072964784e-004
1.67017583885675e-003,-4.78264957342536e-010,-6.01263301966358e-004
1.68179283050744e-003,-4.84940032066388e-010,-6.05445418960143e-004
1.69349062472506e-003,-4.91710575209439e-010,-6.09656624878015e-004
1.70526978353592e-003,-4.98573693789290e-010,-6.13897122049441e-004
1.71713087287552e-003,-5.05534209443274e-010,-6.18167114211201e-004
1.72907446261574e-003,-5.12592122171391e-010,-6.22466806517177e-004
1.74110112659226e-003,-5.19747431973642e-010,-6.26796405548209e-004
1.75321144263208e-003,-5.27002067504959e-010,-6.31156119322020e-004
1.76540599258132e-003,-5.34357957420277e-010,-6.35546157303209e-004
1.77768536233315e-003,-5.41818959029462e-010,-6.39966730413321e-004
1.79005014185596e-003,-5.49382179350115e-010,-6.44418051040972e-004
1.80250092522167e-003,-5.57051475692101e-010,-6.48900333052058e-004
1.81503831063433e-003,-5.64828776710356e-010,-6.53413791800034e-004
1.82766290045881e-003,-5.72711189422479e-010,-6.57958644136251e-004
1.84037530124976e-003,-5.80707392775669e-010,-6.62535108420385e-004
1.85317612378075e-003,-5.88813529460062e-010,-6.67143404530921e-004
1.86606598307363e-003,-5.97032492458057e-010,-6.71783753875722e-004
1.87904549842804e-003,-6.05367174752054e-010,-6.76456379402663e-004
1.89211529345121e-003,-6.13816612014587e-010,-6.81161505610343e-004
1.90527599608789e-003,-6.22385625882989e-010,-6.85899358558874e-004
1.91852823865054e-003,-6.31074216357261e-010,-6.90670165880742e-004
1.93187265784971e-003,-6.39884312092336e-010,-6.95474156791737e-004
1.94530989482459e-003,-6.48816877415682e-010,-7.00311562101976e-004
1.95884059517387e-003,-6.57872876654765e-010,-7.05182614226985e-004
1.97246540898673e-003,-6.67057131446919e-010,-7.10087547198869e-004
1.98618499087409e-003,-6.76367713137211e-010,-7.15026596677552e-004
2.00000000000002e-003,-6.85809443362975e-010,-7.19999999962106e-004
2.01391110011345e-003,-6.95384250779144e-010,-7.25007996002148e-004
2.02791895958007e-003,-7.05091171058252e-010,-7.30050825409318e-004
2.04202425141440e-003,-7.14935025837632e-010,-7.35128730468846e-004
2.05622765331215e-003,-7.24914850789819e-010,-7.40241955151187e-004
2.07052984768277e-003,-7.35032574569747e-010,-7.45390745123746e-004
2.08493152168226e-003,-7.45294947469681e-010,-7.50575347762678e-004
2.09943336724615e-003,-7.55697147852290e-010,-7.55796012164777e-004
2.11403608112278e-003,-7.66245926009841e-010,-7.61052989159441e-004
2.12874036490674e-003,-7.76944174924733e-010,-7.66346531320727e-004
2.14354692507261e-003,-7.87789965942035e-010,-7.71676892979478e-004
2.15845647300887e-003,-7.98786192044147e-010,-7.77044330235555e-004
2.17346972505214e-003,-8.09937674868402e-010,-7.82449100970128e-004
2.18858740252150e-003,-8.21243450087334e-010,-7.87891464858076e-004
2.20381023175324e-003,-8.32707375010811e-010,-7.93371683380460e-004
2.21913894413571e-003,-8.44332342621233e-010,-7.98890019837084e-004
2.23457427614446e-003,-8.56119317246068e-010,-8.04446739359146e-004
2.25011696937764e-003,-8.68070227540249e-010,-8.10042108921980e-004
2.26576777059162e-003,-8.80187002158710e-010,-8.15676397357878e-004
2.28152743173687e-003,-8.92473498411319e-010,-8.21349875369010e-004
2.29739670999409e-003,-9.04932609280477e-010,-8.27062815540428e-004
2.31337636781060e-003,-9.17564334766184e-010,-8.32815492353163e-004
2.32946717293693e-003,-9.30373496505774e-010,-8.38608182197412e-004
2.34566989846378e-003,-9.43361058826714e-010,-8.44441163385818e-004
2.36198532285908e-003,-9.56530879038873e-010,-8.50314716166843e-004
2.37841423000546e-003,-9.69883921469717e-010,-8.56229122738229e-004
2.39495740923788e-003,-9.83421150446714e-010,-8.62184667260559e-004
2.41161565538154e-003,-9.97149316262132e-010,-8.68181635870910e-004
2.42838976879012e-003,-1.01107034757090e-009,-8.74220316696600e-004
2.44528055538416e-003,-1.02518231571810e-009,-8.80300999869031e-004
2.46228882668986e-003,-1.03949486397838e-009,-8.86423977537626e-004
2.47941539987800e-003,-1.05400509936936e-009,-8.92589543883871e-004
2.49666109780325e-003,-1.06871977218329e-009,-8.98797995135443e-004
2.51402674904368e-003,-1.08363598943779e-009,-9.05049629580450e-004
2.53151318794059e-003,-1.09876435873498e-009,-9.11344747581754e-004
2.54912125463855e-003,-1.11410295141993e-009,-9.17683651591406e-004
2.56685179512583e-003,-1.12965369614757e-009,-9.24066646165180e-004
2.58470566127501e-003,-1.14542527186512e-009,-9.30494037977200e-004
2.60268371088389e-003,-1.16141478559016e-009,-9.36966135834679e-004
2.62078680771675e-003,-1.17762705896004e-009,-9.43483250692753e-004
2.63901582154582e-003,-1.19406594928462e-009,-9.50045695669424e-004
2.65737162819305e-003,-1.21073434954630e-009,-9.56653786060599e-004
2.67585510957225e-003,-1.22763515272748e-009,-9.63307839355244e-004
2.69446715373141e-003,-1.24477318046551e-009,-9.70008175250633e-004
2.71320865489537e-003,-1.26214843276037e-009,-9.76755115667713e-004
2.73208051350882e-003,-1.27976765990435e-009,-9.83548984766565e-004
2.75108363627952e-003,-1.29763279055236e-009,-9.90390108961986e-004
2.77021893622188e-003,-1.31574671768682e-009,-9.97278816939164e-004
2.78948733270084e-003,-1.33411522727253e-009,-1.00421543966947e-003
2.80888975147603e-003,-1.35273831930949e-009,-1.01120031042638e-003
2.82842712474622e-003,-1.37162177976250e-009,-1.01823376480144e-003
2.84810039119418e-003,-1.39076753728649e-009,-1.02531614072046e-003
2.86791049603169e-003,-1.41018137784627e-009,-1.03244777845966e-003
2.88785839104503e-003,-1.42986812307918e-009,-1.03962902066211e-003
2.90794503464065e-003,-1.44982680865774e-009,-1.04686021235414e-003
2.92817139189128e-003,-1.47006611352916e-009,-1.05414170096192e-003
2.94853843458224e-003,-1.49058893067585e-009,-1.06147383632817e-003
2.96904714125813e-003,-1.51139622442526e-009,-1.06885697072894e-003
2.98969849726991e-003,-1.53249474506968e-009,-1.07629145889057e-003
3.01049349482217e-003,-1.55388738559150e-009,-1.08377765800672e-003
3.03143313302083e-003,-1.57557800330059e-009,-1.09131592775553e-003
3.05251841792116e-003,-1.59757238416175e-009,-1.09890663031687e-003
3.07375036257606e-003,-1.61987438548486e-009,-1.10655013038980e-003
3.09512998708482e-003,-1.64248786457978e-009,-1.11424679521007e-003
3.11665831864204e-003,-1.66541571442892e-009,-1.12199699456771e-003
3.13833639158704e-003,-1.68866468532454e-009,-1.12980110082490e-003
3.16016524745355e-003,-1.71223574159412e-009,-1.13765948893377e-003
3.18214593501972e-003,-1.73613852651232e-009,-1.14557253645445e-003
3.20427951035853e-003,-1.76037400440661e-009,-1.15354062357321e-003
3.22656703688855e-003,-1.78494796124181e-009,-1.16156413312074e-003
3.24900958542498e-003,-1.80986521865523e-009,-1.16964345059052e-003
3.27160823423117e-003,-1.83513059828423e-009,-1.17777896415733e-003
3.29436406907034e-003,-1.86074602878374e-009,-1.18597106469594e-003
3.31727818325781e-003,-1.88672211775588e-009,-1.19422014579988e-003
3.34035167771352e-003,-1.91305982952815e-009,-1.20252660380030e-003
3.36358566101490e-003,-1.93976495006533e-009,-1.21089083778508e-003
3.38698124945015e-003,-1.96684326533224e-009,-1.21931324961799e-003
3.41053956707187e-003,-1.99429959696620e-009,-1.22779424395794e-003
3.43426174575106e-003,-2.02213876660457e-009,-1.23633422827850e-003
3.45814892523151e-003,-2.05036752453960e-009,-1.24493361288743e-003
3.48220225318454e-003,-2.07898876375370e-009,-1.25359281094640e-003
3.50642288526419e-003,-2.10800923453915e-009,-1.26231223849087e-003
3.53081198516267e-003,-2.13743568718822e-009,-1.27109231445003e-003
3.55537072466633e-003,-2.16727487199317e-009,-1.27993346066697e-003
3.58010028371194e-003,-2.19752775328148e-009,-1.28883610191891e-003
3.60500185044337e-003,-2.22820590298276e-009,-1.29780066593766e-003
3.63007662126869e-003,-2.25931028542447e-009,-1.30682758343012e-003
3.65532580091765e-003,-2.29084765089889e-009,-1.31591728809898e-003
3.68075060249955e-003,-2.32282667835322e-009,-1.32507021666360e-003
3.70635224756154e-003,-2.35525218942481e-009,-1.33428680888095e-003
3.73213196614728e-003,-2.38813093440592e-009,-1.34356750756675e-003
3.75809099685610e-003,-2.42146869926136e-009,-1.35291275861675e-003
3.78423058690244e-003,-2.45527030562848e-009,-1.36232301102815e-003
3.81055199217581e-003,-2.48954443245447e-009,-1.37179871692117e-003
3.83705647730111e-003,-2.52429590137668e-009,-1.38134033156077e-003
3.86374531569944e-003,-2.55953531999725e-009,-1.39094831337854e-003
3.89061978964920e-003,-2.59526365264365e-009,-1.40062312399472e-003
3.91768119034777e-003,-2.63149439990043e-009,-1.41036522824034e-003
3.94493081797350e-003,-2.66822756176758e-009,-1.42017509417962e-003
3.97236998174820e-003,-2.70547471017472e-009,-1.43005319313240e-003
4.00000000000006e-003,-2.74324066675920e-009,-1.43999999969683e-003
4.02782220022694e-003,-2.78153700345061e-009,-1.45001599177213e-003
4.05583791916018e-003,-2.82036468457643e-009,-1.46010165058160e-003
4.08404850282884e-003,-2.85973624639374e-009,-1.47025746069567e-003
4.11245530662433e-003,-2.89965554621241e-009,-1.48048391005527e-003
4.14105969536558e-003,-2.94013415596206e-009,-1.49078148999519e-003
4.16986304336455e-003,-2.98117593295256e-009,-1.50115069526775e-003
4.19886673449234e-003,-3.02279244911352e-009,-1.51159202406654e-003
4.22807216224559e-003,-3.06498852608228e-009,-1.52210597805034e-003
4.25748072981351e-003,-3.10777477146098e-009,-1.53269306236727e-003
4.28709385014524e-003,-3.15115600688698e-009,-1.54335378567901e-003
4.31691294601778e-003,-3.19514669727228e-009,-1.55408866018528e-003
4.34693945010430e-003,-3.23974780694435e-009,-1.56489820164842e-003
4.37717480504303e-003,-3.28497283648776e-009,-1.57578292941819e-003
4.40762046350651e-003,-3.33082950052223e-009,-1.58674336645669e-003
4.43827788827145e-003,-3.37732551366752e-009,-1.59778003936355e-003
4.46914855228895e-003,-3.42447244785323e-009,-1.60889347840115e-003
4.50023393875531e-003,-3.47227608904419e-009,-1.62008421752015e-003
4.53153554118327e-003,-3.52074800917000e-009,-1.63135279438514e-003
4.56305486347377e-003,-3.56989495852295e-009,-1.64269975040046e-003
4.59479341998822e-003,-3.61972850903265e-009,-1.65412563073620e-003
4.62675273562123e-003,-3.67025830397378e-009,-1.66563098435443e-003
4.65893434587390e-003,-3.72149302229356e-009,-1.67721636403553e-003
4.69133979692759e-003,-3.77344327159413e-009,-1.68888232640480e-003
4.72397064571820e-003,-3.82611965947765e-009,-1.70062943195914e-003
4.75682846001096e-003,-3.87952893623639e-009,-1.71245824509404e-003
4.78991481847580e-003,-3.93368556678238e-009,-1.72436933413066e-003
4.82323131076312e-003,-3.98859823006284e-009,-1.73636327134316e-003
4.85677953758027e-003,-4.04427656935244e-009,-1.74844063298616e-003
4.89056111076836e-003,-4.10073119225334e-009,-1.76060199932247e-003
4.92457765337975e-003,-4.15797656367755e-009,-1.77284795465093e-003
4.95883079975603e-003,-4.21602039824484e-009,-1.78517908733450e-003
4.99332219560654e-003,-4.27487233922989e-009,-1.79759598982855e-003
5.02805349808740e-003,-4.33454878019965e-009,-1.81009925870927e-003
5.06302637588121e-003,-4.39505647144641e-009,-1.82268949470238e-003
5.09824250927714e-003,-4.45640794922725e-009,-1.83536730271200e-003
5.13370359025171e-003,-4.51861864278168e-009,-1.84813329184965e-003
5.16941132255006e-003,-4.58169723105691e-009,-1.86098807546359e-003
5.20536742176783e-003,-4.64565239300016e-009,-1.87393227116824e-003
5.24157361543355e-003,-4.71050437948826e-009,-1.88696650087386e-003
5.27803164309167e-003,-4.77626090514097e-009,-1.90009139081645e-003
5.31474325638614e-003,-4.84293450621539e-009,-1.91330757158782e-003
5.35171021914455e-003,-4.91054061195100e-009,-1.92661567816590e-003
5.38893430746286e-003,-4.97908790129503e-009,-1.94001634994523e-003
5.42641730979079e-003,-5.04859276781444e-009,-1.95351023076771e-003
5.46416102701768e-003,-5.11906871209381e-009,-1.96709796895349e-003
5.50216727255908e-003,-5.19052923471768e-009,-1.98078021733215e-003
5.54043787244380e-003,-5.26298494328823e-009,-1.99455763327407e-003
5.57897466540173e-003,-5.33645512435482e-009,-2.00843087872199e-003
5.61777950295210e-003,-5.41094942119215e-009,-2.02240062022284e-003
5.65685424949249e-003,-5.48648326303971e-009,-2.03646752895973e-003
5.69620078238840e-003,-5.56307111480956e-009,-2.05063228078424e-003
5.73582099206342e-003,-5.64072937006865e-009,-2.06489555624885e-003
5.77571678209010e-003,-5.71947056507408e-009,-2.07925804063967e-003
5.81589006928135e-003,-5.79931109339283e-009,-2.09372042400934e-003
5.85634278378262e-003,-5.88026638426441e-009,-2.10828340121022e-003
5.89707686916452e-003,-5.96235186692832e-009,-2.12294767192771e-003
5.93809428251631e-003,-6.04558489927900e-009,-2.13771394071394e-003
5.97939699453987e-003,-6.12997705324609e-009,-2.15258291702158e-003
6.02098698964439e-003,-6.21554857970645e-009,-2.16755531523792e-003
6.06286626604171e-003,-6.30231394357210e-009,-2.18263185471923e-003
6.10503683584236e-003,-6.39029243139244e-009,-2.19781325982528e-003
6.14750072515217e-003,-6.47949657942457e-009,-2.21310025995416e-003
6.19025997416968e-003,-6.56994567421788e-009,-2.22849358957734e-003
6.23331663728412e-003,-6.66165996664922e-009,-2.24399398827493e-003
6.27667278317413e-003,-6.75465295730317e-009,-2.25960220077122e-003
6.32033049490715e-003,-6.84894296840165e-009,-2.27531897697049e-003
6.36429187003948e-003,-6.94455217947646e-009,-2.29114507199300e-003
6.40855902071711e-003,-7.04149312678471e-009,-2.30708124621129e-003
6.45313407377714e-003,-7.13979088284060e-009,-2.32312826528670e-003
6.49801917085002e-003,-7.23945894822871e-009,-2.33928690020618e-003
6.54321646846239e-003,-7.34051564517098e-009,-2.35555792731932e-003
6.58872813814072e-003,-7.44298701050907e-009,-2.37194212837564e-003
6.63455636651567e-003,-7.54688654482757e-009,-2.38844029056215e-003
6.68070335542710e-003,-7.65223642765829e-009,-2.40505320654119e-003
6.72717132202986e-003,-7.75905980286050e-009,-2.42178167448851e-003
6.77396249890036e-003,-7.86737113534626e-009,-2.43862649813158e-003
6.82107913414380e-003,-7.97719549762979e-009,-2.45558848678828e-003
6.86852349150218e-003,-8.08855314058795e-009,-2.47266845540570e-003
6.91629785046307e-003,-8.20146527942509e-009,-2.48986722459937e-003
6.96440450636914e-003,-8.31595312934555e-009,-2.50718562069262e-003
7.01284577052843e-003,-8.43203886988115e-009,-2.52462447575634e-003
7.06162397032539e-003,-8.54974660921864e-009,-2.54218462764892e-003
7.11074144933272e-003,-8.66909563390744e-009,-2.55986692005650e-003
7.16020056742394e-003,-8.79011198078924e-009,-2.57767220253355e-003
7.21000370088680e-003,-8.91281686506839e-009,-2.59560133054364e-003
7.26015324253745e-003,-9.03723728791406e-009,-2.61365516550056e-003
7.31065160183537e-003,-9.16339060722073e-009,-2.63183457480972e-003
7.36150120499916e-003,-9.29130768146745e-009,-2.65014043190979e-003
7.41270449512313e-003,-9.42101069018605e-009,-2.66857361631471e-003
7.46426393229463e-003,-9.55252181290835e-009,-2.68713501365590e-003
7.51618199371226e-003,-9.68586997945848e-009,-2.70582551572486e-003
7.56846117380494e-003,-9.82107929802321e-009,-2.72464602051595e-003
7.62110398435167e-003,-9.95817676977173e-009,-2.74359743226962e-003
7.67411295460229e-003,-1.00971874672183e-008,-2.76268066151578e-003
7.72749063139894e-003,-1.02381412845144e-008,-2.78189662511759e-003
7.78123957929846e-003,-1.03810584725371e-008,-2.80124624631548e-003
7.83536238069559e-003,-1.05259727827478e-008,-2.82073045477155e-003
7.88986163594705e-003,-1.06729083233333e-008,-2.84035018661419e-003
7.94473996349647e-003,-1.08218988457551e-008,-2.86010638448309e-003
8.00000000000018e-003,-1.09729655652175e-008,-2.87999999757451e-003
8.05564440045394e-003,-1.11261441618370e-008,-2.90003198168690e-003
8.11167583832042e-003,-1.12814577794730e-008,-2.92020329926679e-003
8.16809700565774e-003,-1.14389401695868e-008,-2.94051491945510e-003
8.22491061324872e-003,-1.15986231549852e-008,-2.96096781813361e-003
8.28211939073121e-003,-1.17605347011646e-008,-2.98156297797192e-003
8.33972608672917e-003,-1.19247047022769e-008,-3.00230138847463e-003
8.39773346898474e-003,-1.20911669097835e-008,-3.02318404602889e-003
8.45614432449124e-003,-1.22599541108184e-008,-3.04421195395229e-003
8.51496145962708e-003,-1.24310961995332e-008,-3.06538612254100e-003
8.57418770029055e-003,-1.26046278917170e-008,-3.08670756911839e-003
8.63382589203562e-003,-1.27805810101764e-008,-3.10817731808387e-003
8.69387890020867e-003,-1.29589931636827e-008,-3.12979640096210e-003
8.75434961008613e-003,-1.31398942463876e-008,-3.15156585645258e-003
8.81524092701310e-003,-1.33233180097527e-008,-3.17348673047950e-003
8.87655577654298e-003,-1.35093068841866e-008,-3.19556007624207e-003
8.93829710457798e-003,-1.36978888351862e-008,-3.21778695426505e-003
9.00046787751070e-003,-1.38891043645052e-008,-3.24016843244974e-003
9.06307108236661e-003,-1.40829891522602e-008,-3.26270558612529e-003
9.12610972694762e-003,-1.42795798428952e-008,-3.28539949810035e-003
9.18958683997651e-003,-1.44789159738364e-008,-3.30825125871509e-003
9.25350547124253e-003,-1.46810332252004e-008,-3.33126196589361e-003
9.31786869174788e-003,-1.48859730630686e-008,-3.35443272519666e-003
9.38267959385527e-003,-1.50937730962124e-008,-3.37776464987479e-003
9.44794129143648e-003,-1.53044757550406e-008,-3.40125886092180e-003
9.51365692002201e-003,-1.55181167196697e-008,-3.42491648712864e-003
9.57982963695167e-003,-1.57347422778185e-008,-3.44873866513761e-003
9.64646262152633e-003,-1.59543900382584e-008,-3.47272653949697e-003
9.71355907516062e-003,-1.61771062887082e-008,-3.49688126271596e-003
9.78112222153680e-003,-1.64029296022668e-008,-3.52120399532015e-003
9.84915530675958e-003,-1.66319053023254e-008,-3.54569590590721e-003
9.91766159951215e-003,-1.68640787122754e-008,-3.57035817120302e-003
9.98664439121315e-003,-1.70994922625256e-008,-3.59519197611828e-003
1.00561069961749e-002,-1.73381922407947e-008,-3.62019851380536e-003
1.01260527517625e-002,-1.75802249348015e-008,-3.64537898571567e-003
1.01964850185544e-002,-1.78256356679374e-008,-3.67073460165739e-003
1.02674071805035e-002,-1.80744716922485e-008,-3.69626657985355e-003
1.03388226451002e-002,-1.83267831527635e-008,-3.72197614700062e-003
1.04107348435357e-002,-1.85826144085464e-008,-3.74786453832741e-003
1.04831472308672e-002,-1.88420184976080e-008,-3.77393299765441e-003
1.05560632861834e-002,-1.91050426719949e-008,-3.80018277745358e-003
1.06294865127724e-002,-1.93717409340454e-008,-3.82661513890851e-003
1.07034204382892e-002,-1.96421595714785e-008,-3.85323135197501e-003
1.07778686149258e-002,-1.99163535509603e-008,-3.88003269544213e-003
1.08528346195817e-002,-2.01943749461743e-008,-3.90702045699361e-003
1.09283220540355e-002,-2.04762777594593e-008,-3.93419593326973e-003
1.10043345451182e-002,-2.07621169574813e-008,-3.96156042992962e-003
1.10808757448877e-002,-2.10519446139241e-008,-3.98911526171397e-003
1.11579493308035e-002,-2.13458195527635e-008,-4.01686175250824e-003
1.12355590059043e-002,-2.16437948120110e-008,-4.04480123540623e-003
1.13137084989851e-002,-2.19459330729522e-008,-4.07293505277412e-003
1.13924015647769e-002,-2.22522844806162e-008,-4.10126455631502e-003
1.14716419841269e-002,-2.25629175022536e-008,-4.12979110713386e-003
1.15514335641803e-002,-2.28778822828932e-008,-4.15851607580279e-003
1.16317801385628e-002,-2.31972463254584e-008,-4.18744084242706e-003
1.17126855675653e-002,-2.35210674895979e-008,-4.21656679671131e-003
1.17941537383291e-002,-2.38494094209250e-008,-4.24589533802634e-003
1.18761885650327e-002,-2.41823348007259e-008,-4.27542787547632e-003
1.19587939890798e-002,-2.45199063102864e-008,-4.30516582796654e-003
1.20419739792889e-002,-2.48621914525301e-008,-4.33511062427155e-003
1.21257325320835e-002,-2.52092567660529e-008,-4.36526370310380e-003
1.22100736716848e-002,-2.55611639678133e-008,-4.39562651318279e-003
1.22950014503044e-002,-2.59179834537173e-008,-4.42620051330465e-003
1.23805199483395e-002,-2.62797856196707e-008,-4.45698717241225e-003
1.24666332745684e-002,-2.66466370042695e-008,-4.48798796966575e-003
1.25533455663484e-002,-2.70186118607295e-008,-4.51920439451369e-003
1.26406609898144e-002,-2.73957776919743e-008,-4.55063794676454e-003
1.27285837400791e-002,-2.77782068225648e-008,-4.58229013665876e-003
1.28171180414343e-002,-2.81659773630267e-008,-4.61416248494137e-003
1.29062681475544e-002,-2.85591587449384e-008,-4.64625652293500e-003
1.29960383417001e-002,-2.89578300431534e-008,-4.67857379261347e-003
1.30864329369249e-002,-2.93620664752150e-008,-4.71111584667588e-003
1.31774562762816e-002,-2.97719461516490e-008,-4.74388424862120e-003
1.32691127330315e-002,-3.01875452543263e-008,-4.77688057282339e-003
1.33614067108543e-002,-3.06089486440651e-008,-4.81010640460705e-003
1.34543426440598e-002,-3.10362325027365e-008,-4.84356334032359e-003
1.35479249978008e-002,-3.14694845841410e-008,-4.87725298742792e-003
1.36421582682877e-002,-3.19087820344771e-008,-4.91117696455566e-003
1.37370469830045e-002,-3.23542116432181e-008,-4.94533690160096e-003
1.38325957009263e-002,-3.28058582711823e-008,-4.97973443979476e-003
1.39288090127384e-002,-3.32638125651528e-008,-5.01437123178367e-003
1.40256915410570e-002,-3.37281564929657e-008,-5.04924894170936e-003
1.41232479406509e-002,-3.41989835943866e-008,-5.08436924528852e-003
1.42214828986655e-002,-3.46763845161987e-008,-5.11973382989337e-003
1.43204011348480e-002,-3.51604489408579e-008,-5.15534439463273e-003
1.44200074017737e-002,-3.56512723367849e-008,-5.19120265043366e-003
1.45203064850750e-002,-3.61489443864357e-008,-5.22731032012365e-003
1.46213032036709e-002,-3.66535634512132e-008,-5.26366913851341e-003
1.47230024099984e-002,-3.71652298211759e-008,-5.30028085248019e-003
1.48254089902464e-002,-3.76840370360894e-008,-5.33714722105176e-003
1.49285278645894e-002,-3.82100853860122e-008,-5.37427001549088e-003
1.50323639874246e-002,-3.87434790183123e-008,-5.41165101938040e-003
1.51369223476100e-002,-3.92843162943932e-008,-5.44929202870899e-003
1.52422079687035e-002,-3.98327052189329e-008,-5.48719485195739e-003
1.53482259092047e-002,-4.03887499392998e-008,-5.52536131018534e-003
1.54549812627980e-002,-4.09525555671898e-008,-5.56379323711903e-003
1.55624791585970e-002,-4.15242320359359e-008,-5.60249247923922e-003
1.56707247613913e-002,-4.21038902431991e-008,-5.64146089586997e-003
1.57797232718942e-002,-4.26916372293301e-008,-5.68070035926795e-003
