Freq.,V(outop)
2.42838976879012e+003,-2.55719458235454e+001,2.66630497822791e-001
2.44528055538416e+003,-2.55719064284381e+001,2.68484528829267e-001
2.46228882668986e+003,-2.55718664836201e+001,2.70351444492034e-001
2.47941539987800e+003,-2.55718259814070e+001,2.72231334196468e-001
2.49666109780325e+003,-2.55717849140480e+001,2.74124287945580e-001
2.51402674904368e+003,-2.55717432736444e+001,2.76030396362584e-001
2.53151318794059e+003,-2.55717010522139e+001,2.77949750696421e-001
2.54912125463855e+003,-2.55716582416384e+001,2.79882442824980e-001
2.56685179512584e+003,-2.55716148337132e+001,2.81828565260444e-001
2.58470566127501e+003,-2.55715708201094e+001,2.83788211152802e-001
2.60268371088390e+003,-2.55715261923703e+001,2.85761474294112e-001
2.62078680771676e+003,-2.55714809419360e+001,2.87748449123470e-001
2.63901582154582e+003,-2.55714350601157e+001,2.89749230730775e-001
2.65737162819305e+003,-2.55713885381119e+001,2.91763914861703e-001
2.67585510957225e+003,-2.55713413669893e+001,2.93792597921522e-001
2.69446715373141e+003,-2.55712935376974e+001,2.95835376980102e-001
2.71320865489537e+003,-2.55712450410598e+001,2.97892349776135e-001
2.73208051350882e+003,-2.55711958677778e+001,2.99963614721893e-001
2.75108363627952e+003,-2.55711460083955e+001,3.02049270906880e-001
2.77021893622188e+003,-2.55710954533585e+001,3.04149418103937e-001
2.78948733270084e+003,-2.55710441929658e+001,3.06264156772665e-001
2.80888975147603e+003,-2.55709922173720e+001,3.08393588064245e-001
2.82842712474622e+003,-2.55709395166084e+001,3.10537813826576e-001
2.84810039119418e+003,-2.55708860805750e+001,3.12696936608858e-001
2.86791049603169e+003,-2.55708318989935e+001,3.14871059665233e-001
2.88785839104503e+003,-2.55707769614915e+001,3.17060286961609e-001
2.90794503464066e+003,-2.55707212575150e+001,3.19264723178373e-001
2.92817139189129e+003,-2.55706647763792e+001,3.21484473716496e-001
2.94853843458224e+003,-2.55706075072537e+001,3.23719644702071e-001
2.96904714125813e+003,-2.55705494391486e+001,3.25970342990841e-001
2.98969849726991e+003,-2.55704905609173e+001,3.28236676173324e-001
3.01049349482217e+003,-2.55704308612652e+001,3.30518752579892e-001
3.03143313302083e+003,-2.55703703287479e+001,3.32816681285853e-001
3.05251841792116e+003,-2.55703089517498e+001,3.35130572115935e-001
3.07375036257606e+003,-2.55702467184974e+001,3.37460535649662e-001
3.09512998708482e+003,-2.55701836170526e+001,3.39806683226326e-001
3.11665831864204e+003,-2.55701196353013e+001,3.42169126949838e-001
3.13833639158704e+003,-2.55700547609897e+001,3.44547979694886e-001
3.16016524745355e+003,-2.55699889816600e+001,3.46943355110397e-001
3.18214593501972e+003,-2.55699222846980e+001,3.49355367626097e-001
3.20427951035853e+003,-2.55698546573150e+001,3.51784132457262e-001
3.22656703688855e+003,-2.55697860865345e+001,3.54229765609710e-001
3.24900958542499e+003,-2.55697165592118e+001,3.56692383885668e-001
3.27160823423117e+003,-2.55696460620103e+001,3.59172104888493e-001
3.29436406907034e+003,-2.55695745814101e+001,3.61669047028303e-001
3.31727818325781e+003,-2.55695021037076e+001,3.64183329527466e-001
3.34035167771352e+003,-2.55694286150005e+001,3.66715072425645e-001
3.36358566101490e+003,-2.55693541011917e+001,3.69264396585341e-001
3.38698124945015e+003,-2.55692785480020e+001,3.71831423697932e-001
3.41053956707187e+003,-2.55692019409371e+001,3.74416276288226e-001
3.43426174575106e+003,-2.55691242653037e+001,3.77019077720538e-001
